3C-assembly_contig_1198, unplaced_0069_contig_1198
3C-assembly_contig_1194, unplaced_0070_contig_1194
3C-assembly_contig_1199, unplaced_0071_contig_1199
3C-assembly_contig_425, unplaced_0072_contig_425
3C-assembly_contig_1246, unplaced_0073_contig_1246
3C-assembly_contig_1226, unplaced_0074_contig_1226
3C-assembly_contig_1225, unplaced_0075_contig_1225
3C-assembly_contig_1309, unplaced_0076_contig_1309
3C-assembly_contig_1312, unplaced_0077_contig_1312
3C-assembly_contig_1230, unplaced_0078_contig_1230
3C-assembly_contig_1212, unplaced_0079_contig_1212
3C-assembly_contig_1304, unplaced_0080_contig_1304
3C-assembly_contig_1273, unplaced_0081_contig_1273
3C-assembly_contig_1224, unplaced_0082_contig_1224
3C-assembly_contig_1193, unplaced_0083_contig_1193
3C-assembly_contig_1256, unplaced_0084_contig_1256
3C-assembly_contig_1235, unplaced_0085_contig_1235
3C-assembly_contig_1268, unplaced_0086_contig_1268
3C-assembly_contig_1191, unplaced_0087_contig_1191
3C-assembly_contig_1280, unplaced_0088_contig_1280
3C-assembly_contig_1301, unplaced_0089_contig_1301
3C-assembly_contig_1276, unplaced_0090_contig_1276
3C-assembly_contig_1245, unplaced_0091_contig_1245
3C-assembly_contig_1272, unplaced_0092_contig_1272
3C-assembly_contig_394, unplaced_0093_contig_394
3C-assembly_contig_1188, unplaced_0094_contig_1188
3C-assembly_contig_1260, unplaced_0095_contig_1260
3C-assembly_contig_1337, unplaced_0096_contig_1337
3C-assembly_contig_21, unplaced_0097_contig_21
3C-assembly_contig_1252, unplaced_0098_contig_1252
3C-assembly_contig_1231, unplaced_0099_contig_1231
3C-assembly_contig_1233, unplaced_0100_contig_1233
3C-assembly_contig_560, unplaced_0101_contig_560
3C-assembly_contig_1216, unplaced_0102_contig_1216
3C-assembly_contig_1275, unplaced_0103_contig_1275
3C-assembly_contig_1265, unplaced_0104_contig_1265
3C-assembly_contig_1266, unplaced_0105_contig_1266
3C-assembly_contig_611, unplaced_0106_contig_611
3C-assembly_contig_1308, unplaced_0107_contig_1308
3C-assembly_contig_1227, unplaced_0108_contig_1227
3C-assembly_contig_1262, unplaced_0109_contig_1262
3C-assembly_contig_11, unplaced_0110_contig_11
3C-assembly_contig_19, unplaced_0111_contig_19
3C-assembly_contig_1203, unplaced_0112_contig_1203
3C-assembly_contig_1204, unplaced_0113_contig_1204
3C-assembly_contig_1220, unplaced_0114_contig_1220
3C-assembly_contig_1255, unplaced_0115_contig_1255
3C-assembly_contig_1244, unplaced_0116_contig_1244
3C-assembly_contig_1197, unplaced_0117_contig_1197
3C-assembly_contig_1250, unplaced_0118_contig_1250
3C-assembly_contig_1310, unplaced_0119_contig_1310
3C-assembly_contig_1295, unplaced_0120_contig_1295
3C-assembly_contig_1217, unplaced_0121_contig_1217
3C-assembly_contig_889, unplaced_0122_contig_889
3C-assembly_contig_1219, unplaced_0123_contig_1219
3C-assembly_contig_1196, unplaced_0124_contig_1196
3C-assembly_contig_1253, unplaced_0125_contig_1253
3C-assembly_contig_1287, unplaced_0126_contig_1287
3C-assembly_contig_1293, unplaced_0127_contig_1293
3C-assembly_contig_184, unplaced_0128_contig_184
3C-assembly_contig_1305, unplaced_0129_contig_1305
3C-assembly_contig_1214, unplaced_0130_contig_1214
3C-assembly_contig_1294, unplaced_0131_contig_1294
3C-assembly_contig_1292, unplaced_0132_contig_1292
3C-assembly_contig_1258, unplaced_0133_contig_1258
3C-assembly_contig_1270, unplaced_0134_contig_1270
3C-assembly_contig_1311, unplaced_0135_contig_1311
3C-assembly_contig_1213, unplaced_0136_contig_1213
3C-assembly_contig_1208, unplaced_0137_contig_1208
3C-assembly_contig_1189, unplaced_0138_contig_1189
3C-assembly_contig_1223, unplaced_0139_contig_1223
3C-assembly_contig_1240, unplaced_0140_contig_1240
3C-assembly_contig_1261, unplaced_0141_contig_1261
3C-assembly_contig_991, unplaced_0142_contig_991
3C-assembly_contig_1206, unplaced_0143_contig_1206
3C-assembly_contig_1331, unplaced_0144_contig_1331
3C-assembly_contig_1243, unplaced_0145_contig_1243
3C-assembly_contig_1332, unplaced_0146_contig_1332
3C-assembly_contig_1264, unplaced_0147_contig_1264
3C-assembly_contig_1228, unplaced_0148_contig_1228
3C-assembly_contig_610, unplaced_0149_contig_610
3C-assembly_contig_1195, unplaced_0150_contig_1195
3C-assembly_contig_1238, unplaced_0151_contig_1238
3C-assembly_contig_751, unplaced_0152_contig_751
3C-assembly_contig_1313, unplaced_0153_contig_1313
3C-assembly_contig_189, unplaced_0154_contig_189
3C-assembly_contig_1281, unplaced_0155_contig_1281
3C-assembly_contig_1277, unplaced_0156_contig_1277
3C-assembly_contig_275, unplaced_0157_contig_275
3C-assembly_contig_1303, unplaced_0158_contig_1303
3C-assembly_contig_1269, unplaced_0159_contig_1269
3C-assembly_contig_268, unplaced_0160_contig_268
3C-assembly_contig_308, unplaced_0161_contig_308
3C-assembly_contig_17, unplaced_0162_contig_17
3C-assembly_contig_488, unplaced_0163_contig_488
3C-assembly_contig_1296, unplaced_0164_contig_1296
3C-assembly_contig_4, unplaced_0165_contig_4
3C-assembly_contig_1221, unplaced_0166_contig_1221
3C-assembly_contig_1202, unplaced_0167_contig_1202
3C-assembly_contig_263, unplaced_0168_contig_263
3C-assembly_contig_1234, unplaced_0169_contig_1234
3C-assembly_contig_930, unplaced_0170_contig_930
3C-assembly_contig_1205, unplaced_0171_contig_1205
3C-assembly_contig_765, unplaced_0172_contig_765
3C-assembly_contig_994, unplaced_0173_contig_994
3C-assembly_contig_714, unplaced_0174_contig_714
3C-assembly_contig_1215, unplaced_0175_contig_1215
3C-assembly_contig_153, unplaced_0176_contig_153
3C-assembly_contig_905, unplaced_0177_contig_905
3C-assembly_contig_548, unplaced_0178_contig_548
3C-assembly_contig_645, unplaced_0179_contig_645
3C-assembly_contig_1288, unplaced_0180_contig_1288
3C-assembly_contig_928, unplaced_0181_contig_928
3C-assembly_contig_938, unplaced_0182_contig_938
3C-assembly_contig_1317, unplaced_0183_contig_1317
3C-assembly_contig_276, unplaced_0184_contig_276
3C-assembly_contig_1187, unplaced_0185_contig_1187
3C-assembly_contig_143, unplaced_0186_contig_143
3C-assembly_contig_912, unplaced_0187_contig_912
3C-assembly_contig_344, unplaced_0188_contig_344
3C-assembly_contig_58, unplaced_0189_contig_58
3C-assembly_contig_199, unplaced_0190_contig_199
3C-assembly_contig_250, unplaced_0191_contig_250
3C-assembly_contig_437, unplaced_0192_contig_437
3C-assembly_contig_681, unplaced_0193_contig_681
3C-assembly_contig_927, unplaced_0194_contig_927
3C-assembly_contig_38, unplaced_0195_contig_38
3C-assembly_contig_329, unplaced_0196_contig_329
3C-assembly_contig_173, unplaced_0197_contig_173
3C-assembly_contig_389, unplaced_0198_contig_389
3C-assembly_contig_1218, unplaced_0199_contig_1218
3C-assembly_contig_1068, unplaced_0200_contig_1068
3C-assembly_contig_884, unplaced_0201_contig_884
3C-assembly_contig_126, unplaced_0202_contig_126
3C-assembly_contig_1147, unplaced_0203_contig_1147
3C-assembly_contig_290, unplaced_0204_contig_290
3C-assembly_contig_635, unplaced_0205_contig_635
3C-assembly_contig_694, unplaced_0206_contig_694
3C-assembly_contig_840, unplaced_0207_contig_840
3C-assembly_contig_1251, unplaced_0208_contig_1251
3C-assembly_contig_491, unplaced_0209_contig_491
3C-assembly_contig_1041, unplaced_0210_contig_1041
3C-assembly_contig_98, unplaced_0211_contig_98
3C-assembly_contig_485, unplaced_0212_contig_485
3C-assembly_contig_1242, unplaced_0213_contig_1242
3C-assembly_contig_1259, unplaced_0214_contig_1259
3C-assembly_contig_1185, unplaced_0215_contig_1185
3C-assembly_contig_297, unplaced_0216_contig_297
3C-assembly_contig_778, unplaced_0217_contig_778
3C-assembly_contig_722, unplaced_0218_contig_722
3C-assembly_contig_981, unplaced_0219_contig_981
3C-assembly_contig_317, unplaced_0220_contig_317
3C-assembly_contig_673, unplaced_0221_contig_673
3C-assembly_contig_971, unplaced_0222_contig_971
3C-assembly_contig_756, unplaced_0223_contig_756
3C-assembly_contig_84, unplaced_0224_contig_84
3C-assembly_contig_398, unplaced_0225_contig_398
3C-assembly_contig_838, unplaced_0226_contig_838
3C-assembly_contig_353, unplaced_0227_contig_353
3C-assembly_contig_742, unplaced_0228_contig_742
3C-assembly_contig_974, unplaced_0229_contig_974
3C-assembly_contig_1055, unplaced_0230_contig_1055
3C-assembly_contig_59, unplaced_0231_contig_59
3C-assembly_contig_118, unplaced_0232_contig_118
3C-assembly_contig_302, unplaced_0233_contig_302
3C-assembly_contig_1124, unplaced_0234_contig_1124
3C-assembly_contig_3, unplaced_0235_contig_3
3C-assembly_contig_393, unplaced_0236_contig_393
3C-assembly_contig_999, unplaced_0237_contig_999
3C-assembly_contig_413, unplaced_0238_contig_413
3C-assembly_contig_1069, unplaced_0239_contig_1069
3C-assembly_contig_878, unplaced_0240_contig_878
3C-assembly_contig_1267, unplaced_0241_contig_1267
3C-assembly_contig_36, unplaced_0242_contig_36
3C-assembly_contig_1054, unplaced_0243_contig_1054
3C-assembly_contig_296, unplaced_0244_contig_296
3C-assembly_contig_18, unplaced_0245_contig_18
3C-assembly_contig_653, unplaced_0246_contig_653
3C-assembly_contig_255, unplaced_0247_contig_255
3C-assembly_contig_1114, unplaced_0248_contig_1114
3C-assembly_contig_347, unplaced_0249_contig_347
3C-assembly_contig_103, unplaced_0250_contig_103
3C-assembly_contig_54, unplaced_0251_contig_54
3C-assembly_contig_428, unplaced_0252_contig_428
3C-assembly_contig_593, unplaced_0253_contig_593
3C-assembly_contig_492, unplaced_0254_contig_492
3C-assembly_contig_385, unplaced_0255_contig_385
3C-assembly_contig_80, unplaced_0256_contig_80
3C-assembly_contig_1038, unplaced_0257_contig_1038
3C-assembly_contig_1098, unplaced_0258_contig_1098
3C-assembly_contig_888, unplaced_0259_contig_888
3C-assembly_contig_16, unplaced_0260_contig_16
3C-assembly_contig_478, unplaced_0261_contig_478
3C-assembly_contig_646, unplaced_0262_contig_646
3C-assembly_contig_1145, unplaced_0263_contig_1145
3C-assembly_contig_665, unplaced_0264_contig_665
3C-assembly_contig_343, unplaced_0265_contig_343
3C-assembly_contig_342, unplaced_0266_contig_342
3C-assembly_contig_420, unplaced_0267_contig_420
3C-assembly_contig_1060, unplaced_0268_contig_1060
3C-assembly_contig_619, unplaced_0269_contig_619
3C-assembly_contig_299, unplaced_0270_contig_299
3C-assembly_contig_1125, unplaced_0271_contig_1125
3C-assembly_contig_852, unplaced_0272_contig_852
3C-assembly_contig_25, unplaced_0273_contig_25
3C-assembly_contig_1099, unplaced_0274_contig_1099
3C-assembly_contig_1190, unplaced_0275_contig_1190
3C-assembly_contig_526, unplaced_0276_contig_526
3C-assembly_contig_1286, unplaced_0277_contig_1286
3C-assembly_contig_666, unplaced_0278_contig_666
3C-assembly_contig_119, unplaced_0279_contig_119
3C-assembly_contig_796, unplaced_0280_contig_796
3C-assembly_contig_63, unplaced_0281_contig_63
3C-assembly_contig_392, unplaced_0282_contig_392
3C-assembly_contig_27, unplaced_0283_contig_27
3C-assembly_contig_821, unplaced_0284_contig_821
3C-assembly_contig_1160, unplaced_0285_contig_1160
3C-assembly_contig_2, unplaced_0286_contig_2
3C-assembly_contig_138, unplaced_0287_contig_138
3C-assembly_contig_594, unplaced_0288_contig_594
3C-assembly_contig_241, unplaced_0289_contig_241
3C-assembly_contig_364, unplaced_0290_contig_364
3C-assembly_contig_506, unplaced_0291_contig_506
3C-assembly_contig_995, unplaced_0292_contig_995
3C-assembly_contig_715, unplaced_0293_contig_715
3C-assembly_contig_288, unplaced_0294_contig_288
3C-assembly_contig_319, unplaced_0295_contig_319
3C-assembly_contig_1229, unplaced_0296_contig_1229
3C-assembly_contig_407, unplaced_0297_contig_407
3C-assembly_contig_918, unplaced_0298_contig_918
3C-assembly_contig_49, unplaced_0299_contig_49
3C-assembly_contig_253, unplaced_0300_contig_253
3C-assembly_contig_952, unplaced_0301_contig_952
3C-assembly_contig_680, unplaced_0302_contig_680
3C-assembly_contig_365, unplaced_0303_contig_365
3C-assembly_contig_505, unplaced_0304_contig_505
3C-assembly_contig_1128, unplaced_0305_contig_1128
3C-assembly_contig_793, unplaced_0306_contig_793
3C-assembly_contig_706, unplaced_0307_contig_706
3C-assembly_contig_837, unplaced_0308_contig_837
3C-assembly_contig_1036, unplaced_0309_contig_1036
3C-assembly_contig_97, unplaced_0310_contig_97
3C-assembly_contig_71, unplaced_0311_contig_71
3C-assembly_contig_959, unplaced_0312_contig_959
